Ticker,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,30 Day Return,90 Day Return,Correlation with SPY,Cluster
AACG,1.2778484949291122,3.216686222225846,0.3972561843613336,-0.9650349655013324,-0.1584158100318513,0.4166666501098215,0.0412410811568461,Cluster 1
AAOI,0.4833446019899136,0.8607495205073145,0.5615392056274823,-0.9849412710490024,0.3753731962566431,3.081949246993312,0.2909013124589544,Cluster 5
AAXJ,0.0568389241704801,0.2008897453290377,0.2829359163026642,-0.445168989079293,-0.0028761386439156,0.0106097707730616,0.7275928110282033,Cluster 2
ACB,0.1676167199317274,1.0155650759635189,0.1650477393314267,-0.9979380706654934,0.0119048078584582,-0.3111831527637853,0.2380184167287574,Cluster 1
ACIW,0.1565374677967559,0.3450105627328798,0.4537178994080627,-0.5417633248442298,-0.0438386632525279,0.0796588575394696,0.5928633501424849,Cluster 2
ADAM,0.0800696536152327,0.4816394534741541,0.1662439674276588,-0.8401253614180318,0.0525808160609182,-0.0043705775200383,0.3625810564632748,Cluster 1
ADMA,0.2719544763827211,0.6829710932675318,0.3981932457516057,-0.902852049248012,-0.0992647692288581,-0.02000002179827,0.2246403511827613,Cluster 1
ADTN,0.0300432463246981,0.4557700183086542,0.065917557359713,-0.8199207704604948,0.0748386998330392,0.5746691840784341,0.3907559809293253,Cluster 1
AEIS,0.2430393800307317,0.4104120488081376,0.5921838326543611,-0.622811772721992,0.0573820530914268,0.0767344258023816,0.653196193041757,Cluster 2
AGIO,0.052077174025642,0.5891720758475936,0.0883904315232911,-0.8736389885188934,-0.3889921651876025,-0.2809627995236387,0.3859997227601998,Cluster 4
AKBA,0.2234529765551905,0.8479730479180122,0.263514243882897,-0.98729028983069,0.0614525232677891,0.292516965427847,0.3064538884140956,Cluster 1
AMCX,-0.0564531745950022,0.5096347048930059,-0.1107718411893754,-0.9139909543871494,0.0702702290302996,-0.0462428218322327,0.347087036976035,Cluster 1
AMKR,0.263726121481693,0.5099451455319578,0.5171656673122808,-0.6126004616683979,0.0386353830005756,-0.1845086752007094,0.5586825541344881,Cluster 4
AMSC,0.4056092573846175,0.7781722825466891,0.5212332364977053,-0.8905522282001185,-0.1811835364615246,0.2327327189723151,0.3271124337092971,Cluster 4
ANIP,0.1269410446169706,0.5142556116469205,0.2468442574898459,-0.7295936255108226,-0.022976369913164,-0.0865829748650406,0.3791936507216041,Cluster 4
ANIX,0.4666575604075969,1.015295822075145,0.4596271847684785,-0.911111107578984,-0.2467532497691674,-0.2634921069828788,0.1546112871320685,Cluster 1
ARDX,0.2555636110182394,0.8633644884270808,0.2960089445928422,-0.98141399487838,0.0201208019499474,-0.161983469120263,0.2511956375951122,Cluster 1
ATYR,-0.0953955304303432,0.821109228089392,-0.1161788555857733,-0.9971561795617024,0.2461273394874599,0.9358288108707652,0.2080159230942267,Cluster 1
AXGN,0.3354628109963775,0.6076066830194635,0.552105202874524,-0.9354203971993708,0.3037973967257132,0.3344128771820414,0.3510832821514979,Cluster 1
AXSM,0.6450531777921766,0.976209556506182,0.6607732668596261,-0.8664886474554976,-0.0918750426835032,-0.028699345453832,0.1862063714318533,Cluster 4
AZTA,0.2621200071546715,0.4749095064841395,0.5519367449500098,-0.7061437178689084,0.2045290778550244,0.0460251212981974,0.5437634909739422,Cluster 4
BATRK,0.1373489241879482,0.3109600860353896,0.4416930993912732,-0.5494983130808846,-0.0451709854523609,-0.1161931736571059,0.457249165435528,Cluster 4
BIIB,0.0046459288379765,0.4217567260776216,0.0110156603338235,-0.6922769909660973,-0.0441903061533479,-0.2478851433194394,0.3754130624686465,Cluster 4
BLDP,0.2285349559044126,0.7030121933711257,0.3250796473508208,-0.9690168351080192,0.296875002910383,-0.0978261214629907,0.3783723512816362,Cluster 1
BLMN,0.0624645344938418,0.465300594080864,0.1342455507009007,-0.7980821617411585,-0.0578571043070775,-0.3094787464068927,0.4993369219149263,Cluster 4
BUSE,0.1028825892560468,0.3119203859155316,0.3298360540112551,-0.5493319444334979,-0.1095578712202999,-0.0833337969318034,0.5621140816134121,Cluster 4
CAAS,0.2250733978343243,0.8309430650767212,0.2708650054303579,-0.8279329522146545,-0.0531177882508203,0.0933333079020182,0.1019136016006282,Cluster 1
CASH,0.2746971846506325,0.4118548755082868,0.6669756775651072,-0.6490066590956121,-0.0754168692887503,0.1451521137438318,0.4782190415090298,Cluster 4
CASY,0.194440123456646,0.2724615049285762,0.7136425511105398,-0.3340882500681036,-0.0128799394478732,0.0720496016813048,0.4495532704755659,Cluster 2
CBSH,0.1176631188640736,0.2634347926498144,0.4466498812876397,-0.4116087421929693,-0.0824681689591989,0.0585721657081317,0.6237050889225855,Cluster 2
