Ticker,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,30 Day Return,90 Day Return,Correlation with SPY
AACG,1.2778484949291122,3.216686222225846,0.3972561843613336,-0.9650349655013323,-0.15841581003185135,0.4166666501098215,0.0412410811568461
AAOI,0.48334460198991364,0.8607495205073145,0.5615392056274823,-0.9849412710490023,0.3753731962566431,3.081949246993312,0.29090131245895445
AAXJ,0.05683892417048017,0.20088974532903778,0.28293591630266424,-0.44516898907929303,-0.002876138643915671,0.010609770773061689,0.7275928110282033
ACB,0.16761671993172744,1.0155650759635189,0.16504773933142672,-0.9979380706654934,0.011904807858458266,-0.3111831527637853,0.23801841672875745
ACIW,0.1565374677967559,0.34501056273287983,0.45371789940806273,-0.5417633248442298,-0.04383866325252794,0.07965885753946966,0.5928633501424849
ADAM,0.0800696536152327,0.48163945347415416,0.16624396742765887,-0.8401253614180318,0.052580816060918245,-0.004370577520038332,0.3625810564632748
ADMA,0.27195447638272113,0.6829710932675318,0.39819324575160575,-0.9028520492480119,-0.09926476922885819,-0.020000021798270096,0.22464035118276135
ADTN,0.030043246324698167,0.4557700183086542,0.06591755735971302,-0.8199207704604948,0.07483869983303926,0.5746691840784341,0.39075598092932534
AEIS,0.2430393800307317,0.41041204880813764,0.5921838326543611,-0.622811772721992,0.057382053091426855,0.07673442580238166,0.653196193041757
AGIO,0.05207717402564203,0.5891720758475936,0.08839043152329117,-0.8736389885188934,-0.3889921651876025,-0.2809627995236387,0.3859997227601998
AKBA,0.22345297655519059,0.8479730479180122,0.263514243882897,-0.9872902898306901,0.06145252326778916,0.292516965427847,0.3064538884140956
AMCX,-0.056453174595002244,0.5096347048930059,-0.1107718411893754,-0.9139909543871494,0.07027022903029967,-0.04624282183223272,0.347087036976035
AMKR,0.26372612148169305,0.5099451455319578,0.5171656673122808,-0.6126004616683979,0.038635383000575674,-0.18450867520070946,0.5586825541344881
AMSC,0.40560925738461756,0.7781722825466891,0.5212332364977053,-0.8905522282001185,-0.18118353646152463,0.23273271897231518,0.3271124337092971
ANIP,0.12694104461697064,0.5142556116469205,0.24684425748984593,-0.7295936255108226,-0.022976369913164096,-0.08658297486504063,0.3791936507216041
ANIX,0.4666575604075969,1.015295822075145,0.4596271847684785,-0.9111111075789841,-0.24675324976916746,-0.26349210698287884,0.15461128713206856
ARDX,0.2555636110182394,0.8633644884270808,0.29600894459284227,-0.9814139948783799,0.020120801949947476,-0.16198346912026307,0.2511956375951122
ATYR,-0.09539553043034327,0.821109228089392,-0.1161788555857733,-0.9971561795617023,0.2461273394874599,0.9358288108707653,0.2080159230942267
AXGN,0.33546281099637754,0.6076066830194635,0.552105202874524,-0.9354203971993708,0.30379739672571326,0.3344128771820414,0.3510832821514979
AXSM,0.6450531777921766,0.9762095565061819,0.6607732668596261,-0.8664886474554976,-0.09187504268350322,-0.028699345453832015,0.18620637143185337
AZTA,0.26212000715467154,0.47490950648413954,0.5519367449500098,-0.7061437178689084,0.2045290778550244,0.04602512129819747,0.5437634909739422
BATRK,0.13734892418794825,0.31096008603538966,0.44169309939127327,-0.5494983130808846,-0.04517098545236098,-0.11619317365710591,0.457249165435528
BIIB,0.004645928837976527,0.42175672607762166,0.011015660333823517,-0.6922769909660973,-0.04419030615334796,-0.24788514331943945,0.3754130624686465
BLDP,0.22853495590441264,0.7030121933711257,0.32507964735082084,-0.9690168351080191,0.29687500291038305,-0.09782612146299074,0.3783723512816362
BLMN,0.06246453449384186,0.465300594080864,0.13424555070090075,-0.7980821617411585,-0.05785710430707758,-0.30947874640689277,0.49933692191492635
BUSE,0.10288258925604682,0.3119203859155316,0.3298360540112551,-0.5493319444334979,-0.10955787122029992,-0.08333379693180343,0.5621140816134121
CAAS,0.22507339783432434,0.8309430650767212,0.2708650054303579,-0.8279329522146545,-0.053117788250820364,0.09333330790201821,0.10191360160062823
